primaryTitle,startYear,critic_rating,critic_review
The Maid,2009,93,                      This excellent insidious film transmits fear by remote control.  [Full review in Spanish]                   
Torn,2021,100,"                      Nothing about it is natural. But across Torn, Conrad Anker goes from guest to tireless companion – one who punctures the loneliness and cements the solitude of a broken family.                  "
Gaia,2021,85,"                      This eerie new chiller from director Jaco Bouwer utilizes the tried-and-true creepy forest setting to great effect, sucking us into another bizarre and unsettling deep-woods scenario that melds mystery with the macabre.                  "
The Skin I Live In,2011,81,                      An essay on bioethics with elements of science fiction and black humor. [Full review in Spanish]                  
The Stranger,2022,95,                      Finely tuned unconventional crime drama about a brooding psychopath protagonist.                  
Bloodline,2008,36, 
The Chaser,2008,82,                      The Chaser is thrilling and endlessly inventive during its two hour runtime.                  
Stockton on My Mind,2020,83,"                      Michael Tubbs cuts an undeniably inspiring figure as a young, inventive politician, but this documentary elides the nuts and bolts of whether his policies have lasting, measurable effects.                  "
Stray,2020,100,"                      If you can meet its pace, and agree to bask in the visuals, the tone, and the performances, the fact that little happens should be of minimal concern.                  "
Sputnik,2020,88,                      Abramenko is constantly moving his story forward whether it’s through the chilling mystery or character growth.                  
Truth to Power,2021,85,"                      Sure he's a little older, a little plumper and a lot greyer, but the star of An Inconvenient Sequel: Truth To Power is as magnetic as ever and the film revolves around him.                  "
Runner,2020,100,"                      Focusing on the journey rather than finish, the documentary runs well as motivating inspiration for many walks-or, make that runs-of life.                  "
The Scheme,2020,88,"                      The Scheme relies heavily on interviews with journalists who actually did the investigative work that's used in the movie, but the filmmakers chose not to do their own further investigations.                  "
Pirates,2021,100,"                      Pirates plunders familiar genre material to fresh, funny ends, sweetened with an end-of-an-era nostalgia.                  "
Confession,2022,30,                      Confession is an entertaining body of work.                  
Up in the Air,2009,90,                      Clooney's portrayal if this terminal man is exemplary on every count. He is a man of and for our times. So too is this year's finest movie.                  
Mascarpone,2021,86,"                      Less a rom-com, more a belated coming-of-age story, this is a film that lives up to its title. Rich, succulent and delicious, Mascarpone is a tasty treat, both on your plate and on screen.                   "
Steps,2021,93,                      Morgan... may not be a household name but deserves to be recognized as one of the great film actors working today.                  
The Door,2012,44,"                      Visually, there's an elegance to ""The Door"" that feels both a virtue and a limitation.                  "
Rebel,2022,100,"                      It's a movie that must be seen to be believed. This fascinating work proves why it's essential for cinema to have a diverse range of voices telling the stories, and that’s what brings about these incredible shocks and surprises.                  "
The Shattering,2021,71,"                      Character-driven, psychological, domestic thriller filled with intrigue.                  "
Easter Sunday,2022,44,"                      If the movie had been infused with Koy’s humor and wit, it would have been a much better film than what was ultimately produced.                  "
Maska,2020,17,"                      [If] the title of your movie has no thematic underpinnings to it, it doesn't bode well. ... Maska is a frivolous and farcical joke of a movie.                  "
Stalker,2020,92,"                       Prime level acting, this quiet fear that ""grabs you and gets into you"", and at the end it won't disappoints. [Full review in Spanish].                  "
Relative,2022,100,"                      While some instances feel more organic than others, none are completely out of place conceptually and all end up providing another springboard towards subdued yet entertaining levity by way of communion or juxtaposition.                  "
Observe and Report,2009,51,"                      In-your-face and out-of-control, but very wickedly funny.                  "
Vengeance,2022,81,"                      Beginning as a fast-talking comedy with something dark lurking underneath, this film sends its central character into an amusingly alien culture before shifting into a mystery thriller.                  "
About Sunny,2011,83,"                      About Sunny chooses to treat human beings, even when under great stress, with considerable sympathy and realism.                  "
Watcher,2022,88,"                      Watcher is a taut, tense and immensely watchable thriller. Plus that last shot is one for the ages.                  "
Bare,2020,57,"                      If you like dance, you will love this film. If you don't, there's still plenty to see.                  "
Harry Potter and the Deathly Hallows Part 2,2011,96,                      It's a satisfying conclusion to a great franchise.                  
Beyond the Fire,2009,11,                      It's frightfully sincere and the sex scenes are a whole new level of unconvincing.                  
Wildflower,2022,60,"                      A sweet coming-of-age story that dives into very thorny territory. The end result is mixed, making the film feel off-putting, problematic, and insincere.                  "
I Walk on Water,2020,88,"                      IWOW is, then, a work of true hubris ... that amount[s] to deranged ramblings of a person who has lost ethical perspective while declaring himself a god.                  "
Ascension,2021,98,"                      The analysis is rich but more respected on an intellectual level instead of one that is genuinely moving, particularly as there isn't a natural flow to the pacing here.                  "
Last Vegas,2013,46,"                      No stereotype is left unturned. Dirty old man, check. May-December romance, check. Advice spewing wise old man, check. Viagara joke, check. It's all here and more, but the movie is content to coast along on the reputations of its stars.                  "
Ouija,2014,6,                      Ouija commits the crime of taking itself too seriously while also being an incredible bore.                  
Maybe Someday,2022,100,"                      Maybe Someday is a quietly moving motion picture, simultaneously humorous in natural places yet grounded in honest feelings and the natural tensions and intimacies of relationships and friendships.                  "
Gran Torino,2008,81,"                      Its characters find peace through acts of openness, understanding and sacrifice, and it is these arcs that allow the audience to feel a sense of cathartic peace ourselves.                  "
Red Snow,2021,75,"                      Red Snow isn't always subtle in its satire, but then it's also a lot more understanding of the sparkly Orlok fetishist than is the norm, even in horror-comedies.                  "
Camino,2008,50,"                      Though respectful and subdued when the story requires, Fesser's ironic touch manages to extract humour from a dire situation and in the process, skewer organised religion and its propagation of false hope.                  "
Rambo Last Blood,2019,26,                      I liked the setup of “Last Blood” more than the payoff.                   
Stardust,2020,19,"                      A nice idea, hampered by circumstance and execution. There will no doubt be many films made about David Bowie and the impact he had on the world. They do well to avoid Stardusts mistakes.                   "
City Hall,2020,98,"                      Even just taken as a portrait of Boston in the midst of what'll now forever be known as 'the moment before the pandemic,' it's a work of massive regional significance.                  "
MARy,2008,59,                      Stylistically sophisticated and emotionally visceral                  
Memoria,2021,90,"                      Apichatpong Weerasethakul’s Memoria is both romantic and hallucinatory, sumptuously presented and emotionally engaging piece of magical realism that explores and expands the limitations of human experience.                  "
The Passenger,2021,73,"                      If you're a sci-fi fan desperate for a return to the heyday of make-up effects, you're going to love the hijinks The Passenger has in store for you.                  "
Doctor Strange,2016,89,"                      The names have changed and the powers are different, but it's more or less the same Marvel formula.                  "
Middle of Nowhere,2012,88,"                      Beautiful, evocative, and thoroughly heart wrenching, Middle of Nowhere is a stirring portrait of finding truth in love and vice-versa.                  "
Escape Plan,2013,50,"                      After the finale degrades into a violent shootout and leaves us dissatisfied, not even solid portrayals by Stallone and Schwarzenegger make Escape Plan anything beyond a very, very guilty piece of actionized entertainment.                  "
Hereafter,2010,47,"                      This movie leaves a lot it think about - however you wish to interpret it - it leaves it's mark, and doesn't finish when it ends.  [Full review in Spanish]                   "
Lawless,2012,67,"                      There isn't much dimension to these proceedings and not an inkling of greater meaning beyond the story at hand, but it’s such a well-made picture that one can hardly protest.                  "
Out of the World,2020,80,"                      In rationalising the madness of his hero, the director conveys a disappointingly simplistic and unconvincing black-and-white vision of the world where Léo's emo sensibility is revealed as truth.                  "
First Man,2018,87,                      I love that it makes its own rules when it comes to storytelling. This is what happens when a biopic doesn’t cater to formula or expectations. The results are magnificent.                  
Dead,2020,88,                      Our hero might be Dead on arrival but this film is alive and kicking and frightfully good fun.                  
Seeking Justice,2011,28,"                      In Seeking Justice, Cage is in unfamiliar territory as the bookish Will Gerard which lends itself well to Cage delivering one of his best performances in some time.                  "
Voices,2020,0,"                      The bare bones of Voices should work - they just don't. Instead, what viewers are left with is a lumbering, haphazard, uninteresting mess of a film that's far better left unseen.                  "
The Resort,2021,37,"                      The Resort offers a fright-filled mini-break, but ultimately fails to deliver a truly memorable time. Do not expect a glowing review on TripAdvisor!                  "
Leap Year,2010,23,                      The worst film of 2010. [Full review in Spanish]                   
Brave,2012,79,"                      Merida becomes a rare kind of protagonist, whose lesson tells a rapt audience that defying customs is okay, as long as we take responsibility for our actions and consider the ones we love in the process.                  "
Easier with Practice,2009,88,"                      Will undoubtedly resonate with those who embrace intelligent, well-acted human dramas with unflinching honesty.                  "
Ghost in the Shell,2017,43,"                      The presentation has been shaped to Hollywood specifications and robbed of its potential uniqueness, insight, or innovation.                  "
Monstrous,2020,60,"                      Well-acted by its two stars and written with deliberation and pace (by Shields herself, no less), this is a thoughtful character study and a slowly unfolding mystery - a more serious version of Creep, but without all the found footage and peachfuzz.                  "
Heartless,2009,77,"                      [W]ith its intelligent, gripping story, brilliant performances and assured direction, it's one of the best British films you'll see this year.                  "
Hard Breakers,2010,14,"                      Woefully inept and stupendously unfunny -- a movie that slots into that special sub-category of terrible, the one that calls out for alcohol and friends with an appreciation for barbed derision.                  "
I Hope They Serve Beer in Hell,2009,19,"                      True life and humor do make an appearance, though the morals contain an unlikely fairytale aspect for such atrocious actions, and the laughs come from disgust and shock.                  "
Ip Man,2008,86,"                      “Ip Man” is a truly great film, a masterpiece of the genre, and a true classic of HK cinema.                     "
Chimpanzee,2012,76,                      Proof sometimes nature surprises even the experts                  
Beginning,2020,90,                      The direction is a confident debut that utilizes arresting imagery to create a stark and effective gaze.                  
Landfall,2020,93,                      This beautifully made doc is not about victimhood; it's a celebration of community and resourcefulness. Highly recommended.                  
Butterflies,2018,100,                      The three main actors' performances... keep the film engaging and help it connect with the audience.                  
The Hungry Ghosts,2009,14,"                      I get it, but I don't buy it.                  "
Dead Air,2021,20,"                      An ancient short wave radio becomes the movie, with mixed results.                  "
Leap of Faith,2019,93,                      Full of anecdotes... how decisions are being made and lets us see how complex is the art of making movies. [Full review in Spanish]                  
Beautiful Boy,2018,68,                      “Beautiful Boy” is a heartbreaking father/son story based on the memoirs of author David Sheff and his son Nic.                   
Overrun,2021,71,                      Overrun is shlocky fun with a diverse cast that bolsters slick action and visceral thrills.                  
Rent A Pal,2020,70,"                      Despite its wacky premise, “Rent-A-Pal” works because it doesn’t see its subject matter as a joke.                  "
London River,2009,91,"                      It's to her credit that Blethyn never alienates the audience, despite this, and manages to prioritise the subtly beautiful relationship between the suffering duo. Without it, the film is less than the sum of its parts perhaps, but it's worth seeing...                  "
Intuition,2020,14,                      Predictable and forgettable at the same time.                  
Macbeth,2015,80,                      Through it all Fassbender and Cottilard shine. They both are so keenly in tune with their characters and the unique period dialogue they are given.                  
Outside the Law,2010,76,"                      ... a taut, epic story of three brothers whose lives unfold during the struggle for Algerian independence from France.                  "
Jane Eyre,2011,85,"                      The story is anchored by some wonderful performances, great costume and set design, and it’s moody yet captivating cinematography.                  "
Not Fade Away,2012,68,"                      If anything of consequence happened in Not Fade Away, I must have missed it.                  "
The Yellow Sea,2010,88,"                      ""The Yellow Sea"" is full of great performance, stunning, gore-soaked fight scenes, and frantic action pieces,                  "
On the Fringe,2022,71,                      Tosar and Cruz are simply dazzling and moving... [Full review in Spanish]                  
Rebellion,2021,86,                      Rebellion is a cogent reminder that big change often comes at a personal cost.                  
Coming Clean,2020,86,                      Coming Clean makes for a well-researched educational tool but that's not the same thing as a good film.                  
Searchers,2021,70,"                      With technical ingenuity and a sharp sense of form to match his genial curiosity, the filmmaker Pacho Velez explores the emotional and practical labyrinths of online dating in this new documentary.                  "
Kicks,2009,50,"                      It's an intriguing idea, but the film is too timid and awkward to really get going                  "
The Show,2020,79,"                      Uncompromising and divisive by design, this fantasy drama's off-kilter world is an acquired taste that's likely to turn off as many people as it pleases.                  "
Due Date,2010,39,                      The hangover from The Hangover...                  
Pearl,2020,57,"                      While there might be some heartfelt conviction behind this coming-of-age story about redemption and reconciliation, the melodramatic proclivities keep the emotional impact to a minimum.                  "
Involuntary,2008,81,                      Oscillates between laughably perverse and startlingly uncomfortable.                  
Brighton Rock,2010,51,"                      Few would say Joffe's take is the definite version of Greene's classic, but perhaps that fact suggests that somewhere between the two lays an adaption that's getting close to being so.                  "
Pariah,2011,95,"                      A sensitive coming-of-age tale guided by a career-making lead performance, Pariah is essential viewing.                  "
Red Dawn,2012,14,"                      Filled with corny speeches and uncharismatic performances, there’s not one iota of dynamism to this dull action fodder.                  "
The Future,2011,72,                      Somehow there is narration by a cat wearing a little cast on its leg and it is a beautiful and a heartbreaking thing                  
Mercy,2009,43,                      Frustratingly uneven...                  
Mahler on the Couch,2010,50,                      The questions it doesn't quite ask linger when the lights come up.                  
Francesco,2020,71,"                      Francesco is a live-action, illustrated version of the pope's agenda for serving humanity and bringing the peace of Christ to those who suffer.                  "
Ondine,2009,70,                      A lyrical modern fairytale.  [Full review in Spanish]                   
Two,2021,43,"                      [Marina Gatell and Pablo Derqui's] bodies, their lines, their connection -at times uneven due to some not specially elaborated argumentative excuses- are the causes that keep the film standing. [Full review in Spanish]                  "
Sidewalls,2011,67,"                      Medianeras may test your tolerance for cuteness, but it's an enchanting modern day fairy-tale cut from the same cloth as 500 Days of Summer and Punch-Drunk Love.                  "
Lemmy,2010,83,"                      It is an inspiring film not because of the whole sticking-to-his-guns thing, but because of the purity of it.                  "
Superior,2021,66,                      There’s enough going on here to make it clear that director Erin Vassilopoulos has a distinctive voice.                  
Emily,2022,86,"                      If you’re looking to escape into a character study filled with gorgeous costuming, repressed feelings, caddish behaviour and Line of Duty’s Adrian Dunbar sporting horrendous mutton-chops as Emily’s dad Patrick, then this will be just the ticket.                  "
Run,2020,89,"                      Run is a riveting rollercoaster ride from start to finish, pairing a pulse-pounding plot with powerhouse performances from Sarah Paulson and Kiera Allen.                  "
Our School,2011,89,"                      This documentary unfolds in Romania, but its depiction of multi-generational poverty perpetuated in part by substandard schooling could as easily have been set in dozens of other countries.                  "
The Twin,2022,41,                      The direction the plot takes in its final act isn’t quite satisfying enough to justify pulling the rug out from beneath the entire film that came before...but it certainly sets The Twin apart from the many other films also built from similar DNA strands.                  
For Lucio,2021,100,"                      More of a sociological essay than musical or journalistic, For Lucio is a captivating and fascinating documentary. [Full review in Spanish]                  "
Your Highness,2011,27,                      Does not derive a single insensible laugh.  [Full review in Spanish]                   
Death Note,2017,37,"                      Wingard's lack of control over the material seems unlike his work, and yet the uneven result speaks for itself.                  "
I Spit on Your Grave,2010,31,                      Any semblance of moral justification in this film falls completely flat.                  
Godspeed,2009,50,                      All the theological themes and delicate cinematography in the world can't alter the fact that watching someone get theirs simply makes us feel better                  
Last Day of Summer,2009,17,"                      [It] squanders an intriguing premise with an uneven, lazy and painfully juvenile screenplay that's low on laughs and imagination.                  "
Aloha,2015,20,"                      Many of the actors remain so charming that watching them, even in a film as slapdash as this, makes the entire experience better than it really is. But that doesn’t mean Aloha should be considered passable.                  "
Sweat,2020,98,"                      You shouldn’t sweat the small stuff but [the film] shows that the small things matter to an influencer. Every single “like” is validation... So Sweat, Van Horn and Magdalena Kolesnik get one huge like and subscribe.                  "
Conviction,2010,68,                      A thriller based on actions not words.  [Full review in Spanish]                   
An Ideal Host,2020,83,
The Phantom,2021,100,"                      The documentary offers a damning portrait of the US criminal legal system, whose countless victims are predominantly poor and disenfranchised.                  "
This Is the End,2013,83,"                      Much of the movie goes by with almost nothing of significance happening beyond these actors goofing around together, and this is enjoyable until the formulaic plot takes over, and we lose interest.                  "
New Order,2020,67,"                      There are no sympathetic or redeeming characters, the politics is very muddled and any message it wishes to convey is drowned out by the violence. New Order is a short, sharp shock to the system. Albeit a deeply unpleasant one with no redeeming features.                  "
Attica,2021,98,                      This is an unblinking look at the upstate 1971 New York massacre...                  
Touch,2020,92,"                      As a film about an outsiders attempt to enter a new culture it is tremendously affecting, skipping over the pitfalls that have encompassed other similar attempts like a skilled dancer or the fingers of a talented masseuse.                  "
Doors,2021,42,                      Portal looks great and the soundtrack is superb but its stories are inconsistent in terms of quality and that affects your enjoyment of the film as a whole.                  
Cherrybomb,2009,50,"                      A valiant effort, but a little too yoof by numbers to be taken seriously.                  "
I See You,2019,79,"                      It could have gone very wrong and, beyond a few conventions and effects, the result is positive. [Full Review in Spanish]                  "
Endangered,2022,100,"                      Endangered left me feeling chilled to the bone, but empowered by journalists risking their lives for the truth.                  "
Under the Boardwalk The Monopoly Story,2010,85,"                      Strictly a soft sell, a breezy, fan's-eye appreciation of one of America's (and now much of the world's) most popular board games.                  "
Guidance,2021,88,                      Does what great science fiction always does: deepen our understanding of each other through science and technology.                   
Spencer,2021,83,"                      Spencer reaches levels of haunting piquancy and has a performance from Kristen Stewart the encompasses mind, body, and soul.                  "
Immortals,2011,49,"                      ...Singh is a good match for todays CGI uproar, and 2011s The Immortals gives him something worth chewing on; Greek mythology filtered through Hollywood moonshine...                  "
All In The Fight for Democracy,2020,100,"                      Although a little repetitive in parts, All In: The Fight For Democracy is essential viewing...                  "
Caged,2021,72,"                      ""Caged"" is really only worth your time if you want to experience how much solitary confinement sucks. If that is a conclusion you've already come to in life, feel free to skip it.                  "
Shark Bait,2022,38,"                      Unoriginal shark thriller; language, threat, gory injuries.                  "
Raat Akeli Hai,2020,100,"                      ""Raat Akeli Hai"" has its faults, and at 149 minutes somewhat overextends its welcome, particularly in the romantic aspects, but Siddiqui's charisma, the overall visuals and Trehan's direction allow the movie to rise beyond its few shortcomings                  "
White Noise,2020,87,"                      It's not fun to stare into the sun, but truth is a bitter pill. We may question why we need to shed light on these people and stories, but after the U.S. insurrection, I'm not sure there's enough we can do in this regard. Supreme documentary filmmaking.                  "
Hadewijch,2009,73,                      Bruno Dumont has crafted a compelling modern day fable about a self-possessed young woman who finds the unlikeliest of outlets in her quest for divinity.                  
Hello Lonesome,2010,73,"                      Hello Lonesome is well thought out, layered with emotional complexity, interest and well defined characters.                  "
Moonshot,2022,64,"                      Despite not having a ton of chemistry, Sprouse and Condor are hugely likeable in this funny and wry space rom-com. From the gorgeous interiors to amusing robot banter, Moonshot is surprisingly much better than its silly premise suggests                  "
Dear Santa,2020,89,"                      Dear Santa, is a film that ... seems to exist solely to indict film critics (this one, included) for their churlish and heartless ways.                  "
Songbird,2020,9,"                      If you're going to be so bold as to exploit a global issue, you should at least try to make it entertaining.                  "
SoulBoy,2010,75,"                      Even though the plot of this 1970s-set drama is a bit simplistic, the film is sweet and surprisingly dramatic, holding our attention because of the energetic, good-looking cast. Plus all those groovy outfits and songs.                  "
Rurangi,2020,100,                      A flawed yet admirable presentation.                  
Bullet Train,2022,53,"                      Strangely, this murder at 320kms per hour action comedy may be an embarrassment of riches in the talent department, but the execution leaves one exhausted by the trip, impatient to find their stop.                  "
Den of Thieves,2018,42,"                      It's one thing for the bad guys to shoot one another, but when cops place dozens of innocent people in the middle of an automatic gun battle it feels gratuitous even for a movie like this.                  "
Boogie Man The Lee Atwater Story,2008,93,                      Boogie Man provides an incisive and fascinating look at a man who sold his soul for victory.                  
Paradise,2013,21,"                      Paradise claims to be the story of young woman's crisis of faith and subsequent rebirth, but in execution, it feels more like a story about someone who was in a bad mood for a while but eventually got over it.                  "
Karen,2021,17,"                      You can’t miss its bludgeoning message which is nailed into every scene. You also can’t miss the complete lack of inspired storytelling, the astonishingly bad dialogue, or characters so poorly conceived that it’s impossible to connect with them.                  "
Here After,2021,30,                      There are enough bad romantic movies built on the lie that people are worthless unless they're with a soul mate. The odious Here After is even more pathetic because of its concept that people without soul mates can't go to heaven.                  
Fear,2020,100,"                      Initially released in 2020, there could not be a more fitting moment for the film's message to be expanded globally.                   "
The Mothman Legacy,2020,60,"                      If you are already familiar with the story of the massive, winged creature, then this is a great companion documentary to expand your knowledge with information you may not have known from the past and the present                  "
Valley Girl,2020,59,                      It’s a light and breezy musical with a fun nostalgic tinge.                   
Hercules,2014,5,"                      With such minimal adherence to both the origins and famed labors recounted in Greek mythology, there's very little that relates it to the eponymous hero.                  "
Night of the Demons,2009,33,                      Horror that does not work in any level. [Full review in Spanish].                  
Venom,2018,29,"                      Ironically, the film lacks a bit of bite...                   "
Isolation,2021,71,"                      Like the film equivalent of a support group: it could be draining or it could be cathartic, depending on the individual.                  "
Cherry,2022,89,                      A very winning performance by Alex Trewhitt helps smooth out a few rough edges in Sophie Galibert’s amusing and timely feature debut.                  
Glorious,2022,86,"                      'Glorious' director Rebekah McKendry loves horror and has a gift for absurdist comedy, and those two impulses keep this film spry and spiky, like the many eldritch tentacles that keep this ghoulish engine turning.                   "
Small Apartments,2012,30,"                      This tonally uneven venture plays like one extended distraction after another, depending on an odd assortment of characters that never quite feel fully realized.                  "
Old Henry,2021,94,"                      ""Old Henry"" [has] a stunning third act that made me reassess Potsy Ponciroli's brutal but effective western as a whole.                  "
These Amazing Shadows,2011,75,"                      Entertaining, but only revealing when the directors visit the Library of Congress film storage vaults in Culpeper, Va., where close to 130,000 rolls of fragile and damaged nitrate motion-picture film are kept in 124 climate-controlled vaults.                  "
Brotherhood,2010,56,                      The film is an interesting intellectual game where there is no sin without penance.  [Full review in Spanish]                   
Dying of the Light,2014,11,"                      Dying of the Light is something a little different. Sure, it covers most of the spy movie tropes, but this contains an impressive performance from Nicolas Cage.                  "
Host,2020,99,"                      Host isn't more than a haunted house in a virtual mosaic where none of the characters asks herself what would happen if they left the chat and let the psychic, which doesn't seem that professional to boot, deal with the problem. [Full review in Spanish]                  "
Chevalier,2022,94,                      Chevalier is a visual treat as well as a narrative and auditory one.                  
The Swamp,2020,67,                      Directors DiMauro and Pehme fully recognize that these supposed rebels-and Gaetz in particular-are bald-faced hypocrites who don't walk their own talk.                  
Deliver Us from Evil,2020,94,"                      Deliver Us from Evil misses a few of its beats, such as some emotional stakes it tries to inject too late in the game, but on the whole it's a straightforward, brain-off action romp with cool visuals.                  "
A Royal Affair,2012,90,"                      It's a thoughtful, delicate romance that deserved more recognition on its release.                  "
Sound of Noise,2010,96,                      It's the perfect musical for the Youtube Generation.                  
Sister,2021,100,                      [This] resounding appeal for gender equality and recognition deserves to be heard and seen.                  
Encounter,2021,57,"                      Ahmed is magnetic on screen. His physicality and energy telegraph a man tightly coiled like a spring, ready to snap at any moment, threatening a spark that could ignite a powder keg of violence                  "
Luca,2021,91,                      Luca is a charming film with a more relaxed Pixar style that’s made for the dreamers in all of us.                  
The Other Side,2021,33,                      You will forget about it while you're watching it.                  
Blessed,2009,85,"                      Unforgiving in its shrewd relentlessness, the cast is flawless as is the direction.                  "
The Strange Case of Angelica,2010,85,"                      A master class in cinematic formalism, from a man with a lifetime of knowledge and experience.                  "
River,2021,33,                      The film’s soundtrack is majestically augmented by a specially composed music score by Richard Tognetti.                  
The Old Ways,2020,95,
The Tinderbox,2022,71,"                      Although this account is serviceable, there isn’t anything new in it.                  "
The Assistant,2020,93,                      Writer-director Kitty Green expertly crafts a culture of fear that permeates every inch of the frame... and holds up a damning mirror to the film industry in this impressive and incendiary feature.                  
The Andorra Hustle,2020,86,"                      'The Andorra Hustle' is bone dry, but complicated number-crunching financial scandal is where all modern crime is now born.                  "
Bad Teacher,2011,45,                      What must be one of Cameron Diaz’s last great films...                  
Shirin,2008,80,                      A brilliant meld of Kiarostami’s experimental and narrative tendencies                  
Teza,2008,88,"                      The herky-jerky quality of the experience, exacerbated by writer-director Gerima's restless editing, makes Anberber's story difficult to follow.                  "
Unmistaken Child,2008,81, 
Help,2021,45,"                      The clear standout and the reason we keep watching is James, who gives an electrifying and volatile performance, one that hopefully promises more roles in the future.                  "
Madalena,2021,100,"                      While Madalena’s best feature is its excellent cinematography, the whole package presents a perspective fresh (if not entirely satisfying) on a culture both familiar and strange in its variably dramatic contrasts.                  "
Poetry,2010,100,                      That untapped potential and creativity lurking even within ordinary people is the overriding theme of Lee's achingly poignant film.                  
Josee the Tiger and the Fish,2020,100,"                      Gentle and empathetic, this Japanese animation celebrates friendship and the joys of encouraging others.                  "
Evil Eye,2020,44,"                      I found my mind wandering as I waited for the inevitable twist. You know, the ones that have come with every “Welcome to Blumhouse” film so far.                  "
When We Leave,2010,74,                      The movie is suffocated by its own grim determinism.                  
You Are Here,2010,83,"                      A thought-provoking experience, and hopefully just the beginning of Daniel Cockburn's career in filmmaking.                  "
Diana,2021,80,                      The Princess gives pretty much equal time to media and sensation alike. This makes a much-told story fresher than it might otherwise be. It also makes the story even more unsettling.                   
Evil Dead,2013,63,"                      As gorefests go, you could do a lot worse.                  "
Scarborough,2021,100,"                      It’s a love letter but bittersweet, directed by Shasha Nakhai and Rich Williamson. It sure pulses with life.                  "
Ghostbusters,2016,73,"                      Instead of doing something memorable with the great chemistry we see from the cast, “Ghostbusters” settles for being another in a long line of mediocre 80’s movie remakes.                  "
N Secure,2010,20,                      This movie is horrendous. Not sure how or why this got made.                  
Teenage Mutant Ninja Turtles,2014,21,                      I can’t think of a recent blockbuster that’s been raked across the coals as much as Teenage Mutant Ninja Turtles.                  
Raajneeti,2010,22,                      Rajneeti is a layered film with a lot of nuances. Every scene becomes a revelation to the overall direction of the story.                  
Behind the Candelabra,2013,94,"                      Soderbergh seems most intent on normalizing homosexuality itself, and he does that by zooming straight out to the furthest reaches of stereotype and straining for the banal amongst the golden slippers and snarling houseboys                  "
How to Be Single,2016,46,                      Feels more like a failed television pilot than a feature film.                  
Casting By,2012,94,"                      While the movie is not especially thoughtful (to put it mildly), it's worth seeing for all its revelatory TV clips and for celebrating one of the great female innovators in post-World War II movie history.                  "
Lost Boys,2020,80,"                      Tense, shocking, tragic and rewarding; the documentary feels destined to acquire more and more praise and attention as it is seen by more audiences.                  "
Shit Year,2010,33,"                      Movies that require work and participation from the viewer are more than welcomed, but not something that is as frustrating and impenetrable as this.                  "
Hello Ladies The Movie,2014,71,"                      As a romantic comedy that stands on its own, Hello Ladies: The Movie hits every objective.                  "
Last Call,2020,82,"                      An entertaining ride for horror fans which benefits from great production design, The Call uses its clichés for a purpose and has fun along the way.                  "
The FP,2011,50,"                      One of the loudest, most ridiculous, entertaining movies I've seen in a long, long time.                  "
The Family,2016,100,"                      The Family is a provocative documentary about an aspect of Australian history few under a certain age recall, and Jones's film grants a voice to those who had so long been denied one.                  "
Blitz,2011,48,"                      Smart, sharp, shocking, and at times bloody (and bloodily) hilarious, Blitz's witty script and pacy action elevates its simple premise into a brilliantly gritty tale of moral ambiguity.                  "
Another World,2021,100,"                      Adopting a realism redolent of Ken Loach, French director Stephane Brizé keeps aiming at social injustices, questioning the ferocity and blind cruelty of modern corporations.                  "
The Hustle,2019,13,"                      Whatever you want to call Chris Addison’s The Hustle — a remake, a reimagining, a lazy retread — either way, his film is unoriginal, uninspired, and unworthy of your time.                  "
The Watch,2012,16,                      It might’ve been funny if it wasn’t trying so hard to be funny.                  
David,2013,60,"                      David coasts on a few startlingly sharp scenes and zippy musical interludes, but doesn't add up to the sum of its zanier parts.                  "
Twas the Night,2021,43,"                      Twas the Night is a Christmas-themed dark comedy that's as unappealing as stale egg nog: It's nauseatingly bad, and it just plain stinks. The movie's weak plot is made even worse by the entire cast having amateur-level, horrendous acting.                  "
365 Days This Day,2022,0,"                      Nobody’s watching 365 Days for any reason than to see Anna-Maria Sieklucka’s Polish ingenue, Laura, get railed by Michele Morrone’s alpha-roid mafioso, Massimo.                  "
Inland,2022,80,"                      Inland takes the talents of an Oscar winning actor and wastes them in a ponderous tale of introspection. Only sound design saves this pretentious arthouse hybrid from ignominy, while pacing proves to be a real issue throughout.                   "
Iron Man 3,2013,79,"                      Better than its immediate predecessor but not quite topping the original, this third entry in the franchise proves to be one of the best from Marvel yet.                  "
Every Day,2010,34,                      ...an excellent cast can't save a plot drowning in obviousness.                  
The Irishman,2019,95,"                      In a lot of ways, this film is the antithesis to “Goodfellas”, a eulogy to the gangster genre the same way “Unforgiven” was a eulogy to the western genre.                  "
Yogi Bear,2010,13,"                      Lazily plotted and tiredly predictable, the film reminds me of one of that other Yogi's most famous phrases: ""It's deja vu all over again.""                  "
Dancing Queens,2021,33,"                      The movie means well, but it also doesn't do anything to really push the genre to new and/or interesting places, nor does it really say anything about drag culture, drag representation, or gender generally, and for some, it could feel a bit touristy.                  "
Standing Ovation,2010,6,"                      A slight, poorly thought-out take on Disney's plethora of music franchises                  "
Locked Down,2021,42,"                      Going from mean-spirited relationship comedy to a heist film is an awkward jump even if everything works, but despite having a backdrop that everyone can relate to Locked Down ends up feeling removed from its audience.                   "
Seeking a Friend for the End of the World,2012,55,"                      In its depiction of The End, it’s quite brave and oddly beautiful. The film takes hold of you all of a sudden and won’t let go. Before you know it, your eyes begin to tear up, and a lump develops in your throat.                  "
